danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.152,0.977,9,2.534,1,0.0671,0.00185,0.0,0.264,0.347,148.16,audio_features,2NW11uWLOUmqHPdUsRG0eS,spotify:track:2NW11uWLOUmqHPdUsRG0eS,https://api.spotify.com/v1/tracks/2NW11uWLOUmqHPdUsRG0eS,https://api.spotify.com/v1/audio-analysis/2NW11uWLOUmqHPdUsRG0eS,360520,4
0.16,0.988,6,1.951,1,0.253,0.00032,0.0466,0.22,0.0368,87.267,audio_features,6AYXmm1DLDHAW10a9QwiC2,spotify:track:6AYXmm1DLDHAW10a9QwiC2,https://api.spotify.com/v1/tracks/6AYXmm1DLDHAW10a9QwiC2,https://api.spotify.com/v1/audio-analysis/6AYXmm1DLDHAW10a9QwiC2,326200,4
0.0791,0.924,7,1.519,1,0.075,0.000246,0.0,0.0879,0.2,82.946,audio_features,5rvaDukztuWN4S82JoGd7R,spotify:track:5rvaDukztuWN4S82JoGd7R,https://api.spotify.com/v1/tracks/5rvaDukztuWN4S82JoGd7R,https://api.spotify.com/v1/audio-analysis/5rvaDukztuWN4S82JoGd7R,301440,4
0.492,0.959,7,0.698,0,0.0535,0.109,0.0,0.0796,0.349,143.966,audio_features,7FOeR1X65DEG4KjpVhNC4Z,spotify:track:7FOeR1X65DEG4KjpVhNC4Z,https://api.spotify.com/v1/tracks/7FOeR1X65DEG4KjpVhNC4Z,https://api.spotify.com/v1/audio-analysis/7FOeR1X65DEG4KjpVhNC4Z,272907,3
0.552,0.97,0,0.474,0,0.103,0.145,0.0,0.181,0.281,98.461,audio_features,3GHKLPQ7votieFH1h5dYQN,spotify:track:3GHKLPQ7votieFH1h5dYQN,https://api.spotify.com/v1/tracks/3GHKLPQ7votieFH1h5dYQN,https://api.spotify.com/v1/audio-analysis/3GHKLPQ7votieFH1h5dYQN,268020,4
0.212,0.786,4,0.353,1,0.0636,7.01e-05,0.0,0.12,0.413,115.451,audio_features,0Rq66lC98vWUw3ZTwpoiRA,spotify:track:0Rq66lC98vWUw3ZTwpoiRA,https://api.spotify.com/v1/tracks/0Rq66lC98vWUw3ZTwpoiRA,https://api.spotify.com/v1/audio-analysis/0Rq66lC98vWUw3ZTwpoiRA,422960,4
0.466,0.994,9,0.307,1,0.0865,0.0922,0.0,0.591,0.93,170.026,audio_features,0qUFcni7O3J4TDti1MOtRD,spotify:track:0qUFcni7O3J4TDti1MOtRD,https://api.spotify.com/v1/tracks/0qUFcni7O3J4TDti1MOtRD,https://api.spotify.com/v1/audio-analysis/0qUFcni7O3J4TDti1MOtRD,202477,4
0.371,0.989,6,0.275,1,0.093,0.0511,0.0,0.247,0.78,90.219,audio_features,22CnkjWBgo4jyLBkgm608R,spotify:track:22CnkjWBgo4jyLBkgm608R,https://api.spotify.com/v1/tracks/22CnkjWBgo4jyLBkgm608R,https://api.spotify.com/v1/audio-analysis/22CnkjWBgo4jyLBkgm608R,177800,4
0.592,0.988,4,0.239,1,0.152,0.185,0.0,0.0601,0.531,135.063,audio_features,1s1FMdNHcSpOfZR2cEjh0J,spotify:track:1s1FMdNHcSpOfZR2cEjh0J,https://api.spotify.com/v1/tracks/1s1FMdNHcSpOfZR2cEjh0J,https://api.spotify.com/v1/audio-analysis/1s1FMdNHcSpOfZR2cEjh0J,264933,4
0.479,0.978,6,0.177,0,0.118,0.0409,0.66,0.27,0.518,190.046,audio_features,79IJsjFVAvDVgk1tooBwtS,spotify:track:79IJsjFVAvDVgk1tooBwtS,https://api.spotify.com/v1/tracks/79IJsjFVAvDVgk1tooBwtS,https://api.spotify.com/v1/audio-analysis/79IJsjFVAvDVgk1tooBwtS,210000,4
0.13,0.974,4,0.076,1,0.154,0.00602,1.23e-05,0.0596,0.283,171.574,audio_features,613eo56VFDyDCIoB2E3r4e,spotify:track:613eo56VFDyDCIoB2E3r4e,https://api.spotify.com/v1/tracks/613eo56VFDyDCIoB2E3r4e,https://api.spotify.com/v1/audio-analysis/613eo56VFDyDCIoB2E3r4e,207600,4
0.119,0.955,4,0.032,0,0.0649,0.000229,3.8e-06,0.384,0.183,186.19,audio_features,1AwfJENb63nQKuIWiuh0cy,spotify:track:1AwfJENb63nQKuIWiuh0cy,https://api.spotify.com/v1/tracks/1AwfJENb63nQKuIWiuh0cy,https://api.spotify.com/v1/audio-analysis/1AwfJENb63nQKuIWiuh0cy,208160,4
0.105,0.96,9,0.028,1,0.0629,4.26e-05,0.269,0.0843,0.333,180.798,audio_features,1oWlUSljPUqKwbvEl0C3zE,spotify:track:1oWlUSljPUqKwbvEl0C3zE,https://api.spotify.com/v1/tracks/1oWlUSljPUqKwbvEl0C3zE,https://api.spotify.com/v1/audio-analysis/1oWlUSljPUqKwbvEl0C3zE,213267,4
